id,merge_lat,merge_lon,out,in,unbalance
0,39.5075225830078,116.323242187500,1,1,0
1,39.5157623291016,116.306076049805,2,1,-1
2,39.5157623291016,116.307449340820,0,1,1
3,39.5198822021484,116.301956176758,2,2,0
4,39.5569610595703,116.446151733398,0,1,1
5,39.5624542236328,116.450271606445,1,0,-1
6,39.5665740966797,116.436538696289,1,1,0
7,39.5734405517578,116.403579711914,0,1,1
8,39.5748138427734,116.417312622070,0,2,2
9,39.5775604248047,116.425552368164,1,1,0
10,39.5789337158203,116.411819458008,0,1,1
11,39.5803070068359,116.409072875977,1,1,0
12,39.5844268798828,116.414566040039,3,0,-3
13,39.5858001708984,115.968246459961,1,0,-1
14,39.5885467529297,116.413192749023,1,0,-1
15,39.5899200439453,116.359634399414,0,1,1
16,39.5940399169922,116.019058227539,0,2,2
17,39.5926666259766,116.045150756836,0,3,3
18,39.5926666259766,116.362380981445,1,0,-1
19,39.5940399169922,116.017684936523,1,0,-1
20,39.5944976806641,116.041488647461,1,3,2
21,39.5947265625000,116.044807434082,4,3,-1
22,39.5954132080078,116.041030883789,0,2,2
23,39.5967864990234,116.016311645508,1,0,-1
24,39.5967864990234,116.030044555664,1,1,0
25,39.5967864990234,116.084976196289,0,1,1
26,39.5995330810547,116.023178100586,2,0,-2
27,39.5981597900391,116.034164428711,1,0,-1
28,39.5981597900391,116.045150756836,1,0,-1
29,39.5981597900391,116.067123413086,0,1,1
30,39.5981597900391,116.361007690430,1,0,-1
31,39.5995330810547,116.017684936523,0,1,1
32,39.5995330810547,116.034164428711,1,0,-1
33,39.5995330810547,116.036911010742,0,2,2
34,39.6009063720703,115.975112915039,1,0,-1
35,39.6009063720703,116.031417846680,2,0,-2
36,39.6009063720703,116.035537719727,1,0,-1
37,39.6009063720703,116.049270629883,2,0,-2
38,39.6022796630859,115.949020385742,0,1,1
39,39.6022796630859,115.965499877930,0,1,1
40,39.6022796630859,115.972366333008,0,1,1
41,39.6022796630859,116.091842651367,1,0,-1
42,39.6022796630859,116.359634399414,0,1,1
43,39.6022796630859,116.652145385742,1,0,-1
44,39.6036529541016,116.093215942383,0,1,1
45,39.6036529541016,116.652145385742,0,1,1
46,39.6050262451172,116.197586059570,0,1,1
47,39.6077728271484,115.929794311523,1,0,-1
48,39.6077728271484,116.613693237305,0,1,1
49,39.6091461181641,116.091842651367,1,0,-1
50,39.6105194091797,116.179733276367,2,1,-1
51,39.6091461181641,116.428985595703,1,1,0
52,39.6105194091797,116.190719604492,0,1,1
53,39.6105194091797,116.196212768555,1,1,0
54,39.6105194091797,116.267623901367,0,1,1
55,39.6105194091797,116.306076049805,0,1,1
56,39.6105194091797,116.312942504883,0,1,1
57,39.6112060546875,116.642532348633,0,2,2
58,39.6118927001953,116.270370483398,1,0,-1
59,39.6118927001953,116.311569213867,1,3,2
60,39.6118927001953,116.407012939453,0,2,2
61,39.6118927001953,116.615066528320,1,0,-1
62,39.6118927001953,116.645965576172,3,1,-2
63,39.6132659912109,116.032791137695,0,1,1
64,39.6132659912109,116.036911010742,0,1,1
65,39.6132659912109,116.183853149414,1,0,-1
66,39.6132659912109,116.395339965820,2,1,-1
67,39.6132659912109,116.407699584961,1,0,-1
68,39.6132659912109,116.425552368164,0,1,1
69,39.6146392822266,116.034164428711,1,0,-1
70,39.6146392822266,116.035537719727,1,0,-1
71,39.6146392822266,116.198959350586,1,0,-1
72,39.6146392822266,116.304702758789,1,1,0
73,39.6146392822266,116.311569213867,1,0,-1
74,39.6146392822266,116.314315795898,1,4,3
75,39.6146392822266,116.395339965820,1,1,0
76,39.6146392822266,116.429672241211,2,0,-2
77,39.6146392822266,116.459884643555,0,1,1
78,39.6166992187500,116.056137084961,1,1,0
79,39.6160125732422,116.082229614258,0,2,2
80,39.6166992187500,116.307449340820,2,1,-1
81,39.6160125732422,116.637039184570,0,1,1
82,39.6173858642578,116.041030883789,1,1,0
83,39.6173858642578,116.204452514648,1,0,-1
84,39.6173858642578,116.299209594727,0,1,1
85,39.6173858642578,116.323928833008,0,1,1
86,39.6173858642578,116.326675415039,0,1,1
87,39.6173858642578,116.336288452148,1,1,0
88,39.6173858642578,116.414566040039,1,0,-1
89,39.6173858642578,116.667251586914,0,2,2
90,39.6187591552734,116.035537719727,1,0,-1
91,39.6187591552734,116.296463012695,1,0,-1
92,39.6187591552734,116.323928833008,0,1,1
93,39.6187591552734,116.344528198242,0,1,1
94,39.6187591552734,116.499710083008,1,1,0
95,39.6215057373047,116.304702758789,1,1,0
96,39.6201324462891,116.308822631836,0,1,1
97,39.6201324462891,116.311569213867,1,1,0
98,39.6201324462891,116.322555541992,1,0,-1
99,39.6201324462891,116.326675415039,0,1,1
100,39.6201324462891,116.387100219727,2,0,-2
101,39.6201324462891,116.388473510742,0,3,3
102,39.6201324462891,116.634292602539,1,0,-1
103,39.6215057373047,116.034164428711,0,1,1
104,39.6215057373047,116.069869995117,1,1,0
